"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2017-01-16T16:29:07.463+07:00","0.0","40.33"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2017-01-16T16:29:53.070+07:00","0.0","20.48"
